customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1046-XYZ,Female,0,No,Yes,6.0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,,168.58,Yes
1047-XYZ,Male,0,No,No,58.0,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.0,2514.66,Yes
1048-XYZ,Female,0,Yes,No,69.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,18.88,1198.52,No
1049-XYZ,Female,0,No,Yes,,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),89.61,2648.78,Yes
1050-XYZ,Male,0,No,No,62.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,52.44,3038.42,No
1051-XYZ,Female,1,Yes,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),96.67, ,No
1052-XYZ,Male,0,No,Yes,69.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),51.89,3857.34,Yes
1053-XYZ,Female,0,No,No,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.93,4492.13,Yes
1054-XYZ,Male,1,Yes,No,49.0,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),31.07,1645.14,No
1055-XYZ,Female,0,Yes,No,49.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,35.34,1667.33,No
1056-XYZ,Female,0,Yes,No,71.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.09,3541.53,Yes
1057-XYZ,Male,0,No,No,3.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,58.85,189.99,Yes
1058-XYZ,Male,0,Yes,No,10.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,52.87,535.41,No
1059-XYZ,Male,0,No,No,35.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),94.36,3323.72,No
1060-XYZ,Male,0,No,Yes,2.0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,27.7,58.64,No
1061-XYZ,Male,0,No,No,24.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,53.12,1379.58,No
1062-XYZ,Male,0,No,No,38.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),101.72, ,No
1063-XYZ,Male,0,No,No,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.68,590.57,No
1064-XYZ,Male,0,No,Yes,,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,112.23,2702.16,No
1065-XYZ,Female,0,No,No,43.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),116.63,4534.49,No
1066-XYZ,Female,0,Yes,Yes,55.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.86,1515.61,No
1067-XYZ,Male,0,Yes,Yes,39.0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,47.13,1800.59,No
1068-XYZ,Female,1,No,Yes,29.0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,55.24,1641.82,Yes
1069-XYZ,Female,0,No,No,20.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,95.64,2079.89,Yes
1070-XYZ,Female,0,Yes,No,41.0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),77.59,3134.54,Yes
1071-XYZ,Female,0,No,No,54.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),82.44,4768.99,Yes
1072-XYZ,Male,0,Yes,Yes,20.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.75,1768.76,Yes
1073-XYZ,Female,0,Yes,No,19.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),29.8,509.6,No
1074-XYZ,Male,1,Yes,No,66.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),101.32,6166.99,Yes
1075-XYZ,Female,1,No,No,30.0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,88.56,2549.4,No
1076-XYZ,Female,0,No,Yes,53.0,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,75.73,3931.78,No
1077-XYZ,Female,1,Yes,No,34.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,106.97,3313.75,No
1078-XYZ,Male,0,Yes,No,22.0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.03,1936.35,Yes
1079-XYZ,Female,0,Yes,No,67.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,38.17,2452.95,No
1080-XYZ,Male,0,Yes,Yes,6.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),60.97,394.77,Yes
1081-XYZ,Female,1,Yes,Yes,27.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),67.4,1682.08,No
1082-XYZ,Male,0,No,No,10.0,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,23.52,257.54,No
1083-XYZ,Female,0,Yes,No,48.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,113.46,5356.17,No
1084-XYZ,Male,0,No,No,70.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),30.86,2270.95,No
1085-XYZ,Male,0,Yes,No,59.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.75,5154.34,No
1086-XYZ,Female,0,No,Yes,59.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,68.62,3652.65,No
1087-XYZ,Male,0,No,No,2.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,20.56,41.97,No
1088-XYZ,Female,0,No,No,29.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),110.47,3472.48,Yes
1089-XYZ,Female,0,No,No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.18,7702.69,No
1090-XYZ,Female,0,No,No,65.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,70.43,5033.72,No
1091-XYZ,Female,0,No,No,26.0,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,40.89,1135.91,No
1092-XYZ,Female,0,Yes,Yes,10.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,30.16,285.37,Yes
1093-XYZ,Female,0,No,No,53.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),54.34,3156.17,No
1094-XYZ,Female,1,Yes,Yes,59.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,43.54,2759.41,Yes
1095-XYZ,Female,0,No,No,22.0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,68.67, ,No
1096-XYZ,Female,0,No,No,51.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),114.64,5806.73,Yes
1097-XYZ,Female,0,Yes,No,48.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),75.5,3761.6,No
1098-XYZ,Female,0,No,No,21.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,106.99,2056.93,Yes
1099-XYZ,Male,0,Yes,No,22.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,83.09,1787.05,Yes
1100-XYZ,Male,0,Yes,No,30.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.52,2080.48,Yes
1101-XYZ,Female,0,Yes,No,25.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),103.46,2376.18,No
1102-XYZ,Female,0,Yes,Yes,28.0,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),65.14,1674.66,No
1103-XYZ,Female,0,No,No,65.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),104.86,6460.94,Yes
1104-XYZ,Female,0,No,No,45.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,47.16,2302.42,No
1105-XYZ,Female,0,Yes,No,,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),30.88,2030.16,No
1106-XYZ,Female,0,No,No,7.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,103.53,731.83,Yes
1107-XYZ,Female,0,No,No,49.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),76.74,4131.3,No
1108-XYZ,Female,0,Yes,Yes,,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),106.91,875.46,Yes
1109-XYZ,Male,0,No,No,36.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,111.78,4291.46,No
1110-XYZ,Female,0,Yes,Yes,1.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,23.36,24.19,Yes
1111-XYZ,Male,0,Yes,Yes,10.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,68.1,682.5,No
1112-XYZ,Female,0,No,Yes,36.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55.5,2184.94,Yes
1113-XYZ,Female,0,No,No,46.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),80.59,3566.09,Yes
1114-XYZ,Male,1,No,No,32.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),97.36,3145.5,Yes
1115-XYZ,Female,1,Yes,Yes,32.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,46.06,1585.28,Yes
1116-XYZ,Male,0,Yes,No,6.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),73.68,420.66,Yes
1117-XYZ,Female,0,No,No,48.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),88.87,3920.22,Yes
1118-XYZ,Female,1,No,Yes,38.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,31.44,1167.76,Yes
1119-XYZ,Male,0,No,No,17.0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,99.41,1574.42,No
1120-XYZ,Female,0,No,No,27.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),78.61,2100.2,No
1121-XYZ,Male,0,Yes,No,54.0,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),112.95,6060.11,Yes
1122-XYZ,Female,0,No,No,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),51.95,2411.43,No
1123-XYZ,Male,0,Yes,No,35.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.81, ,No
1124-XYZ,Male,0,Yes,No,25.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),68.65,1581.41,No
1125-XYZ,Female,0,No,No,28.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),26.58,757.53,No
1126-XYZ,Female,0,No,No,15.0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),114.95,1612.25,No
1127-XYZ,Male,0,No,Yes,4.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,21.87,95.3,Yes
1128-XYZ,Female,0,Yes,No,27.0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,93.35,2346.84,No
1129-XYZ,Female,0,No,No,26.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,70.51,1663.79,Yes
1130-XYZ,Female,0,No,Yes,19.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,54.86,939.07,Yes
1131-XYZ,Male,1,Yes,Yes,17.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.58,401.76,No
1132-XYZ,Male,0,No,No,43.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,80.22,3323.17,Yes
1133-XYZ,Male,0,Yes,No,41.0,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,76.52,2873.81,No
1134-XYZ,Male,0,No,No,42.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,46.09,2041.74,Yes
1135-XYZ,Male,0,Yes,No,50.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),109.02,5917.57,No
1136-XYZ,Male,0,No,Yes,40.0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),48.41,2079.62,Yes
1137-XYZ,Male,0,No,No,39.0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.97,2691.22,Yes
1138-XYZ,Male,0,Yes,Yes,23.0,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),72.38,1607.85,No
1139-XYZ,Male,0,Yes,No,52.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,28.02,1558.34,No
1140-XYZ,Female,0,No,No,47.0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,111.22,5357.28,Yes
1141-XYZ,Male,0,Yes,No,63.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),55.45,3728.6,Yes
1142-XYZ,Female,0,Yes,No,69.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),26.08,1645.05,No
1143-XYZ,Female,0,Yes,No,43.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,56.73,2476.92,Yes
1144-XYZ,Female,0,Yes,No,48.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,78.02,4100.16,No
1145-XYZ,Male,1,No,No,34.0,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,69.37,2151.24,No
1146-XYZ,Male,0,No,No,40.0,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,87.45,3543.6,No
1147-XYZ,Male,0,Yes,No,61.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),23.55,1381.75,No
1148-XYZ,Male,0,Yes,No,50.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,46.45,2247.57,Yes
1149-XYZ,Female,0,Yes,No,67.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,99.92,6753.41,Yes
1150-XYZ,Male,0,Yes,No,62.0,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),25.99,1625.41,No
1151-XYZ,Male,0,No,Yes,58.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),103.55,6427.62,No
1152-XYZ,Male,0,No,No,33.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),27.19,844.66,No
1153-XYZ,Male,0,Yes,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),101.45,1577.01,No
1154-XYZ,Male,0,Yes,Yes,48.0,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.08,2571.59,Yes
1155-XYZ,Female,0,Yes,Yes,10.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),79.22,728.12,Yes
1156-XYZ,Male,0,No,Yes,38.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),33.29,1387.28,Yes
1157-XYZ,Female,0,Yes,No,19.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,24.62,435.97,No
1158-XYZ,Male,0,No,No,36.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),39.59,1376.73,No
1159-XYZ,Female,0,Yes,No,59.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,30.79,1909.98,No
1160-XYZ,Male,0,No,No,63.0,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),49.24,3108.25,No
1161-XYZ,Male,1,Yes,No,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,69.44,3154.04,No
1162-XYZ,Female,0,No,No,3.0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,76.88,233.61,Yes
1163-XYZ,Female,0,Yes,No,65.0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,96.99,6673.78,No
1164-XYZ,Female,0,Yes,No,8.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,,688.6,Yes
1165-XYZ,Male,0,Yes,No,51.0,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,78.88,3965.23,No
